Viaje	MSE	RMSE	MAE	MAPE	DESV
1	0.0152538384729	0.123506430897	0.0963782508876	144.150262911	0.0772338735834
2	0.0136781079361	0.116953443455	0.0859034615636	95.1809005664	0.0793643700123
3	0.0136781079361	0.116953443455	0.0859034615636	95.1809005664	0.0793643700123
4	0.0189444222289	0.137638738111	0.107969021511	102.915525014	0.0853645864687
5	0.0116966618704	0.108151106654	0.0820292707355	280.045269842	0.0704830519559
6	0.0112545140388	0.106087294427	0.0821466291356	201.712352441	0.0671300630157
7	0.0117959095196	0.108608975318	0.0845505517903	58.9540352251	0.0681697419061
8	0.0153731466442	0.123988493999	0.0953588903363	83.3288995863	0.0792453700733
9	0.013998159816	0.11831381921	0.0929617399757	94.9708328637	0.0731865747028
10	0.00979370645115	0.0989631570391	0.0783248805601	83.2104993066	0.0604890034336
11	0.0117710839187	0.108494626221	0.082325532032	61.1322046248	0.0706653429509
12	0.0102889013206	0.101434221644	0.0774413686887	269.159337995	0.0655113405161
13	0.0112545140388	0.106087294427	0.0821466291356	201.712352441	0.0671300630157
14	0.0174672604702	0.132163763832	0.100281064061	84.1540114523	0.0860869831104
15	0.00981637312359	0.0990776116163	0.0752555134011	159.371764226	0.0644436251799
16	0.0146070047702	0.120859442205	0.0944436233512	311.981316005	0.0754148975901
17	0.00979370645115	0.0989631570391	0.0783248805601	83.2104993066	0.0604890034336
18	0.0174672604702	0.132163763832	0.100281064061	84.1540114523	0.0860869831104
19	0.00818923349947	0.0904943838007	0.0704164551646	74.1457756442	0.0568397426237
20	0.0116966618704	0.108151106654	0.0820292707355	280.045269842	0.0704830519559
21	0.0123885505029	0.111303865624	0.0878239074115	79.4186798823	0.0683777141315
22	0.0100445619822	0.100222562241	0.0795596297626	137.557528212	0.0609493830508
23	0.0100445619822	0.100222562241	0.0795596297626	137.557528212	0.0609493830508
24	0.0146070047702	0.120859442205	0.0944436233512	311.981316005	0.0754148975901
25	0.0116966618704	0.108151106654	0.0820292707355	280.045269842	0.0704830519559
26	0.0112336995562	0.105989148294	0.0826444474637	194.19527124	0.0663595875485
