Viaje	MSE	RMSE	MAE	MAPE	DESV
1	445.110904861	21.0976516433	16.8519523469	116.359395342	12.693408012
2	1483.34606182	38.5142319386	29.2582680101	102.57367827	25.0459540619
3	636.333933524	25.2256602198	20.1099641072	102.645100906	15.2290274519
4	991.83739929	31.4934501014	22.7252418036	5763.28525514	21.8036874005
5	688.267620644	26.2348550719	21.7076628224	116.41771248	14.732447028
6	548.797808293	23.4264339645	19.2568918467	106.809170878	13.340536897
7	938.825414773	30.6402580729	20.6259182033	4312.70239389	22.6582636812
8	942.026018409	30.6924423663	24.3594025248	99.712972161	18.6720520309
9	1207.91024601	34.7550031795	24.5326632042	7274.68704663	24.6182591204
10	1041.40886456	32.2708671181	24.7640793127	99.7475651012	20.6917674535
11	1036.28012231	32.1913050731	23.5278418211	5473.40892187	21.9709076178
12	1952.93047999	44.1919730267	23.6266118774	32449.7872958	37.3458657843
13	632.94526205	25.1584034082	21.4281661794	98.7061311595	13.1825246535
14	1894.68801051	43.5280140887	27.2333677286	9147.15711517	33.9563203641
15	969.374389123	31.1347778075	22.6712586441	111.941406084	21.3398317851
16	1725.22674478	41.5358489113	23.0201712652	103.811227806	34.5730886631
17	788.707835765	28.0839426677	20.3663267674	15841.7720574	19.3370258771
18	1874.72484866	43.2980928987	27.5570843628	107.2616139	33.3965859046
19	1694.96050592	41.1698980557	21.6123854288	6429.57610543	35.0409089778
20	564.642992492	23.762217752	17.3215903201	113.971538957	16.2666991512
21	1877.9617828	43.3354564162	27.0961585719	112.230791144	33.8195205975
22	1895.76007386	43.5403269839	27.5550749239	112.194832944	33.7116881778
23	819.974025878	28.6351885951	21.5100087116	20046.518623	18.9022102175
24	1005.37612243	31.7076666191	24.1094332588	121.16222962	20.5939639304
25	1886.05104642	43.4286892091	29.1905845074	108.880614883	32.1552611952
26	1578.8008359	39.7341268421	22.8545952575	95.8526667458	32.5033584652
27	1639.14281901	40.4863287915	21.9748825222	4790.74026841	34.0036374105
28	841.509438804	29.0087820979	20.0667253921	108.963247237	20.9484121317
29	766.998311149	27.6947343578	21.23273805	106.459010672	17.7811458025
30	1514.59740295	38.9178288571	26.9516291454	8812.24027694	28.0750260794
31	628.072198669	25.0613686512	18.6481411049	12903.2763803	16.7427307211
32	990.046996166	31.4650122543	21.3208502786	101.336041753	23.1401888403
33	480.957891149	21.9307521793	16.6289754816	17963.1533118	14.2980790871
34	837.382836765	28.9375679138	21.0763761464	7235.97480573	19.8284947815
35	891.489909948	29.8578282859	20.0865079102	6984.15478516	22.0912224633
36	2071.87781964	45.517884613	26.8613364728	20838.1008785	36.747060053
37	1536.03302903	39.1922572586	28.0070808404	8127.90839707	27.4159889813
38	2842.35876397	53.3137764933	32.9783007918	102.07130624	41.8902189163
39	1922.71825681	43.8488113501	29.1608444703	9560.73950899	32.7469602649
40	1299.62063946	36.0502515867	24.9129626931	96.7797793776	26.0569554882
