
Datos entrenamiento
iSecuencia	MAE
0	28.980233382
1	25.4859015249
2	18.3778371906
3	48.689955505
4	13.8424189265
5	13.1334534642
6	35.9239512309
7	13.805058639
8	26.6766730615
9	38.8799605811
10	54.4784701863
11	35.8733424443
12	22.8731852244
13	18.3769458901
14	19.3335530979
15	18.3327539709
16	12.1949035521
17	17.8313370933
18	13.8585483176
19	14.0093357457
20	20.2200827884
21	24.3609810226
22	9.73896117557
23	19.4579517386
24	17.0118558009
25	22.005586852
26	12.6348341225
27	14.8327830034
28	23.0761906494
29	37.6269402262
30	25.9347131218
31	27.3071908293
32	23.8137145687
33	29.591154127
34	31.1353463543
35	20.344287558
36	20.3661432038

Datos prueba
iSecuencia	MAE
0	17.8567920594
1	22.7619357267
2	15.8155960479
3	42.5351695054
4	15.0281446487
5	14.8300079695
6	35.6581549366
7	10.7759328876
8	17.8594648704
9	36.7855990944
10	55.1682578667
11	35.7785006568
12	23.2021964113
13	17.7831048476
14	19.0041412007
15	16.530482306
16	11.9245754778
17	16.8454860918
18	13.4170419717
19	13.7912682697
20	21.3855487589
21	26.771864902
22	9.99653735045
23	19.3079615036
24	16.5947061773
25	21.0325492388
26	12.4057696899
27	14.60353241
28	23.0889076274
29	38.061385272
30	25.111989895
31	27.023511681
32	24.1396022286
33	30.3899298853
34	35.9411073156
35	25.9974742302
36	25.9994576081
37	56.3526965403
